iter	Passed	Remaining
401	15632	23254
402	15672	23217
403	15712	23179
404	15750	23139
405	15791	23103
406	15832	23067
407	15872	23030
408	15909	22989
409	15948	22949
410	15988	22913
411	16029	22877
412	16068	22837
413	16106	22797
414	16148	22764
415	16188	22725
416	16226	22685
417	16262	22643
418	16301	22603
419	16339	22563
420	16377	22523
421	16417	22486
422	16455	22446
423	16493	22405
424	16530	22364
425	16569	22325
426	16606	22284
427	16646	22246
428	16684	22206
429	16723	22168
430	16762	22129
431	16800	22089
432	16843	22055
433	16885	22020
434	16925	21983
435	16965	21945
436	17005	21908
437	17046	21872
438	17087	21835
439	17128	21799
440	17167	21761
441	17205	21721
442	17248	21686
443	17288	21650
444	17329	21613
445	17369	21575
446	17408	21536
447	17448	21498
448	17489	21462
449	17528	21423
450	17566	21384
451	17606	21346
452	17645	21307
453	17682	21266
454	17721	21227
455	17758	21186
456	17797	21147
457	17835	21107
458	17873	21066
459	17912	21027
460	17950	20987
461	17989	20948
462	18027	20909
463	18067	20870
464	18105	20830
465	18143	20791
466	18183	20753
467	18221	20713
468	18259	20673
469	18297	20633
470	18336	20594
471	18376	20556
472	18417	20519
473	18459	20484
474	18500	20447
475	18542	20412
476	18583	20375
477	18622	20336
478	18661	20297
479	18700	20258
480	18737	20217
481	18776	20178
482	18816	20141
483	18859	20106
484	18905	20075
485	18954	20046
486	19001	20015
487	19047	19984
488	19093	19952
489	19138	19919
490	19179	19882
491	19221	19846
492	19266	19813
493	19317	19786
494	19362	19753
495	19408	19721
496	19455	19690
497	19496	19652
498	19537	19615
499	19581	19581
500	19623	19545
501	19666	19510
502	19706	19471
503	19745	19431
504	19786	19394
505	19827	19356
506	19868	19319
507	19909	19282
508	19951	19245
509	19991	19207
510	20033	19171
511	20073	19132
512	20112	19093
513	20153	19055
514	20192	19015
515	20229	18974
516	20268	18935
517	20305	18894
518	20342	18853
519	20379	18811
520	20417	18771
521	20454	18730
522	20490	18688
523	20526	18646
524	20564	18605
525	20600	18564
526	20640	18525
527	20677	18484
528	20715	18444
529	20752	18403
530	20791	18364
531	20828	18322
532	20865	18282
533	20902	18241
534	20939	18200
535	20979	18160
536	21018	18122
537	21058	18083
538	21096	18043
539	21135	18003
540	21171	17962
541	21208	17921
542	21244	17879
543	21281	17838
544	21318	17798
545	21355	17757
546	21393	17717
547	21432	17677
548	21469	17637
549	21511	17600
550	21547	17558
551	21585	17518
552	21623	17478
553	21660	17437
554	21697	17396
555	21734	17356
556	21770	17314
557	21808	17274
558	21844	17233
559	21882	17193
560	21919	17153
561	21958	17113
562	21994	17072
563	22031	17031
564	22068	16990
565	22105	16950
566	22145	16912
567	22182	16871
568	22220	16831
569	22256	16790
570	22293	16749
571	22330	16708
572	22368	16668
573	22404	16627
574	22442	16587
575	22478	16546
576	22516	16506
577	22553	16466
578	22590	16426
579	22628	16386
580	22664	16345
581	22700	16303
582	22736	16262
583	22773	16222
584	22812	16182
585	22852	16144
586	22890	16105
587	22927	16065
588	22965	16025
589	23001	15984
590	23039	15944
591	23077	15904
592	23116	15866
593	23154	15825
594	23190	15785
595	23227	15744
596	23263	15704
597	23299	15663
598	23336	15622
599	23374	15582
600	23412	15543
601	23450	15503
602	23487	15463
603	23523	15422
604	23561	15382
605	23598	15342
606	23635	15302
607	23673	15263
608	23710	15223
609	23747	15182
610	23783	15142
611	23820	15102
612	23857	15061
613	23894	15021
614	23931	14981
615	23968	14941
616	24004	14900
617	24041	14860
618	24077	14820
619	24114	14780
620	24152	14740
621	24188	14699
622	24225	14659
623	24262	14619
624	24298	14579
625	24337	14540
626	24374	14500
627	24411	14460
628	24449	14421
629	24485	14380
630	24522	14340
631	24559	14300
632	24596	14260
633	24635	14221
634	24674	14182
635	24712	14143
636	24750	14104
637	24789	14065
638	24826	14025
639	24864	13986
640	24902	13947
641	24939	13907
642	24976	13867
643	25013	13827
644	25050	13787
645	25087	13747
646	25127	13709
647	25165	13670
648	25203	13631
649	25241	13591
650	25278	13551
651	25315	13512
652	25353	13472
653	25390	13432
654	25427	13393
655	25466	13354
656	25504	13315
657	25541	13275
658	25579	13235
659	25618	13197
660	25656	13158
661	25694	13118
662	25732	13079
663	25770	13040
664	25808	13001
665	25847	12962
666	25886	12923
667	25921	12883
668	25958	12843
669	25995	12803
670	26032	12764
671	26070	12724
672	26108	12685
673	26146	12646
674	26181	12606
675	26217	12565
676	26253	12525
677	26289	12485
678	26326	12445
679	26364	12406
680	26402	12367
681	26439	12328
682	26476	12288
683	26516	12250
684	26554	12211
685	26593	12172
686	26632	12133
687	26669	12094
688	26706	12054
689	26743	12015
690	26781	11975
691	26818	11936
692	26855	11896
693	26892	11857
694	26928	11817
695	26966	11778
696	27006	11740
697	27046	11701
698	27084	11662
699	27122	11624
700	27161	11585
701	27200	11546
702	27240	11508
703	27278	11469
704	27320	11432
705	27360	11393
706	27402	11356
707	27440	11317
708	27477	11277
709	27517	11239
710	27554	11200
711	27591	11160
712	27629	11121
713	27667	11082
714	27709	11044
715	27750	11007
716	27788	10968
717	27827	10929
718	27869	10891
719	27910	10854
720	27950	10815
721	27989	10777
722	28029	10738
723	28068	10700
724	28107	10661
725	28146	10622
726	28187	10584
727	28226	10546
728	28270	10509
729	28310	10470
730	28353	10433
731	28392	10394
732	28432	10356
733	28472	10318
734	28515	10281
735	28553	10242
736	28593	10203
737	28633	10165
738	28673	10126
739	28717	10089
740	28756	10051
741	28798	10013
742	28839	9975
743	28884	9938
744	28924	9900
745	28964	9861
746	29003	9823
747	29042	9784
748	29087	9747
749	29134	9711
750	29180	9675
751	29219	9636
752	29259	9597
753	29296	9558
754	29334	9519
755	29371	9479
756	29412	9441
757	29452	9403
758	29493	9364
759	29534	9326
760	29575	9288
761	29617	9250
762	29659	9212
763	29698	9173
764	29738	9135
765	29780	9097
766	29821	9059
767	29862	9021
768	29904	8982
769	29947	8945
770	29986	8906
771	30026	8867
772	30065	8829
773	30106	8790
774	30147	8752
775	30187	8714
776	30227	8675
777	30266	8636
778	30305	8597
779	30345	8559
780	30384	8520
781	30424	8481
782	30464	8442
783	30502	8403
784	30540	8364
785	30579	8325
786	30619	8287
787	30658	8248
788	30697	8209
789	30737	8170
790	30774	8131
791	30812	8092
792	30852	8053
793	30890	8014
794	30930	7975
795	30968	7936
796	31006	7897
797	31045	7858
798	31082	7819
799	31121	7780
800	31160	7741
801	31197	7702
802	31245	7665
803	31289	7627
804	31327	7588
805	31364	7549
806	31401	7510
807	31441	7471
808	31479	7432
809	31516	7392
810	31551	7352
811	31588	7313
812	31626	7274
813	31663	7235
814	31701	7195
815	31738	7156
816	31776	7117
817	31813	7078
818	31850	7038
819	31889	7000
820	31927	6960
821	31966	6922
822	32011	6884
823	32051	6846
824	32095	6808
825	32140	6770
826	32181	6732
827	32223	6693
828	32261	6654
829	32299	6615
830	32337	6576
831	32376	6537
832	32414	6498
833	32453	6459
834	32491	6420
835	32529	6381
836	32567	6342
837	32608	6303
838	32650	6265
839	32691	6227
840	32731	6188
841	32770	6149
842	32814	6111
843	32860	6073
844	32908	6036
845	32951	5998
846	32992	5959
847	33032	5921
848	33077	5883
849	33118	5844
850	33159	5805
851	33200	5767
852	33241	5728
853	33281	5689
854	33324	5651
855	33363	5612
856	33403	5573
857	33441	5534
858	33481	5495
859	33519	5456
860	33557	5417
861	33597	5378
862	33634	5339
863	33674	5300
864	33713	5261
865	33757	5223
866	33797	5184
867	33838	5145
868	33877	5107
869	33917	5068
870	33957	5029
871	33996	4990
872	34039	4951
873	34079	4913
874	34120	4874
875	34158	4835
876	34196	4796
877	34233	4756
878	34270	4717
879	34309	4678
880	34348	4639
881	34388	4600
882	34429	4562
883	34472	4523
884	34510	4484
885	34553	4445
886	34591	4406
887	34631	4367
888	34674	4329
889	34720	4291
890	34761	4252
891	34804	4213
892	34844	4175
893	34887	4136
894	34928	4097
895	34970	4059
896	35011	4020
897	35054	3981
898	35096	3942
899	35138	3904
900	35177	3865
901	35221	3826
902	35264	3788
903	35307	3749
904	35347	3710
905	35389	3671
906	35429	3632
907	35470	3593
908	35510	3554
909	35552	3516
910	35593	3477
911	35637	3438
912	35678	3399
913	35719	3360
914	35757	3321
915	35798	3282
916	35836	3243
917	35875	3204
918	35916	3165
919	35954	3126
920	35993	3087
921	36031	3048
922	36072	3009
923	36115	2970
924	36155	2931
925	36194	2892
926	36234	2853
927	36275	2814
928	36318	2775
929	36358	2736
930	36398	2697
931	36439	2658
932	36480	2619
933	36520	2580
934	36561	2541
935	36605	2502
936	36645	2463
937	36685	2424
938	36727	2385
939	36767	2346
940	36806	2307
941	36844	2268
942	36884	2229
943	36923	2190
944	36961	2151
945	36999	2112
946	37039	2072
947	37078	2033
948	37122	1995
949	37162	1955
950	37200	1916
951	37240	1877
952	37282	1838
953	37321	1799
954	37363	1760
955	37404	1721
956	37444	1682
957	37487	1643
958	37527	1604
959	37567	1565
960	37607	1526
961	37647	1487
962	37687	1448
963	37726	1408
964	37765	1369
965	37804	1330
966	37842	1291
967	37884	1252
968	37926	1213
969	37969	1174
970	38012	1135
971	38052	1096
972	38093	1057
973	38135	1017
974	38174	978
975	38217	939
976	38257	900
977	38300	861
978	38341	822
979	38386	783
980	38431	744
981	38471	705
982	38513	666
983	38551	626
984	38591	587
985	38630	548
986	38669	509
987	38707	470
988	38746	430
989	38784	391
990	38824	352
991	38863	313
992	38903	274
993	38940	235
994	38982	195
995	39021	156
996	39058	117
997	39099	78
998	39138	39
999	39178	0
