iter	Logloss
0	0.6665742908
1	0.6441550198
2	0.6228917059
3	0.6035661585
4	0.5830369584
5	0.5633864172
6	0.5460901614
7	0.5321818818
8	0.520896125
9	0.5082715134
10	0.4928277765
11	0.4801150796
12	0.4693213382
13	0.4607976301
14	0.458474054
15	0.4478612559
16	0.4358954305
17	0.4253658689
18	0.4174321614
19	0.4074677091
20	0.3987392366
21	0.3886419435
22	0.3809892332
23	0.3757110788
24	0.368841978
25	0.361511097
26	0.3554099181
27	0.3484280837
28	0.3439752738
29	0.3384283098
30	0.3336342824
31	0.3288305041
32	0.3232702827
33	0.3186331237
34	0.3137577089
35	0.3103547965
36	0.3069964314
37	0.3032447276
38	0.299885136
39	0.2965769209
40	0.2917476679
41	0.2876617212
42	0.2844921881
43	0.2820368238
44	0.2769521096
45	0.2730781882
46	0.2693569197
47	0.2670416907
48	0.2643543155
49	0.260356122
50	0.2574817453
51	0.2554014469
52	0.2536342581
53	0.2520266959
54	0.2496620833
55	0.2475428973
56	0.2457267777
57	0.2437214397
58	0.2418287692
59	0.2409722387
60	0.238639375
61	0.2357605049
62	0.2329008986
63	0.2304650089
64	0.2284798035
65	0.2257460327
66	0.2240301305
67	0.2209091216
68	0.2187539466
69	0.2168635703
70	0.2160870047
71	0.2142178259
72	0.2127620186
73	0.2114772702
74	0.2101046017
75	0.2087225608
76	0.2071353173
77	0.206317652
78	0.2050785188
79	0.2036901353
80	0.2025104152
81	0.2008057451
82	0.2000335697
83	0.1982219868
84	0.1971207718
85	0.1950988942
86	0.1927112931
87	0.1910126303
88	0.1897307793
89	0.1879544054
90	0.1867394852
91	0.1856030368
92	0.1839876183
93	0.1828905989
94	0.1817041203
95	0.179423868
96	0.1779692522
97	0.1762886087
98	0.1750852242
99	0.1738982739
100	0.1723505906
101	0.1717091619
102	0.1707170939
103	0.1693367323
104	0.1681204519
105	0.1667412498
106	0.1663084339
107	0.1650543183
108	0.1637395867
109	0.1629026601
110	0.1619990294
111	0.1612149127
112	0.160646298
113	0.1593488959
114	0.1578283378
115	0.1563920783
116	0.1554621687
117	0.1547298281
118	0.1541436488
119	0.1526987821
120	0.150822699
121	0.1497317809
122	0.1491272818
123	0.1483236292
124	0.1473164565
125	0.1459570252
126	0.14500948
127	0.1442376073
128	0.1434916879
129	0.1425224238
130	0.1418553029
131	0.1414052018
132	0.1409791478
133	0.139614113
134	0.137908217
135	0.1369844821
